屌丝	Loser
江崎丽金龟	Esaki beetle
江心补漏	Mend a leaking boat in midstream -- too late
江户川乱步怪人二十面相DS	Edogawa Ranpo no Kaijin Nijuu Mensou DS
江户文化历史检定DS	Edo Bunka Rekishi Kentei DS
江河日下	Degenerate day by day
江河行地	As immutable as the rivers
江洋大盗	Sea-robbers
江流日下	Degenerate day by day
江淮宾悦	JAC Binyie
江淮瑞风	JAC Refine
江淮瑞鹰	JAC The auspicious hawk automobile
江淹才尽	Have used up one's literary talent at all
江湖霸业	Lakes dominance
江湖风云	Mob Enforcer
江湖骗子	Swindler
江畑幸子	Yukiko EBATA
江米条机	XSS-JMT
江米酿鸡	Chicken Stuffed with Glutinous Rice
江苏云台山	Jiangsu Yuntai Mountain
江苏周庄	Jiangsu Zhouzhuang
江苏舜天	Jiangsu sainty
江西婺源	Jiangxi Wuyuan
江西庐山	Jiangxi Mount Lu
江郎才尽	Have used up one's literary talent at all
江郎才掩	Have used up one's literary talent at all
江铃厢式货车	JMC van
江铃汽车	JMC
江铃陆风	JMC Landwind
江铃顺达	JMC Shunda
江阴长江大桥	Jiangyin Yangtze River Bridge
池塘里的荷花	The lotus in the pond
池田信太郎	Shintaro Ikeda
池鱼之殃	Be implicated in trouble
池鱼之祸	Be implicated in trouble
池鱼之虑	Be implicated in trouble
污七八糟	In a filthy mess
污染标准指数	Pollution standard index
污染等级	Class of pollution
污水处理站	Sewage Disposal
污水管道	Sewage conduit
汤姆与杰瑞地狱大脱逃	Tom and Jerry: Infurnal Escape
汤姆与杰瑞魔法戒指	Tom and Jerry: The Magic Ring
汤姆克兰西的鹰击长空	Tom Clancy's H A W X
汤姆斯杯	The Thomas Cup
汤姆斯杯赛	The Thomas Cup
汤姆早餐吃沙拉和鸡蛋	Tom has salad and eggs for his breakfast
汤姆经常在电视上看排球比赛	Tom often watches volleyball games on TV
汤姆考林斯	Tom Collins
汤姆`辛斯比	Tom`Slingsby
汤池铁城	Boiling moat and iron city
汤米的变速器	Tommy Tronic
汤臣倍健	BY-HEALTH
汪仔偶像学院	Wannyan Idol Gakuen
汪汪名侦探	WanWan Meitantei
汪洋大肆	Articles, speech calligraphy and other magnificent momentum
汪洋恣肆	Articles, speech calligraphy and other magnificent momentum
汪洋浩博	A man who broadmined and knowledgeable
汪洋自肆	Articles, speech calligraphy and other magnificent momentum
汪洋闳肆	Articles, speech calligraphy and other magnificent momentum
汪达与巨像	Shadow of The Colossus
汪达尔之心审判之火	Vandal Hearts: Flames of Judgment
汲古阁本	Ji GuGe carving copy
汶上宝相寺	Wenshang Baoxiang Temple
汹涌澎湃	Be surging forward like a torrential tide
汽油发电机	Gasoline generator
汽油机水泵	Gasoline pump
汽车专项维修业户	Motor Vehicle Maintenance and Repair Service for Special Items
汽车举升机	Automobile lift
汽车人战记	Transformers Robots In Disguise
汽车仪表	Automobile instrument
汽车仪表板	The car dashboard
汽车修理店	Auto repair shop
汽车俱乐部	Automobile club
汽车内饰	Automotive interior
汽车凉垫	Automobile cooling mat
汽车制造商	Car manufacturer
汽车加油	Vehicle refueling
汽车吊车	Automobile crane
汽车后备箱	The trunk of the car
汽车后视镜	Automobile rearview mirror
汽车坐垫	Car cushion
汽车坐垫套	Car seat cover
汽车大亨	Car Tycoon
汽车大灯	Car headlights
汽车头枕	Car headrest
汽车导航	Car navigation
汽车封釉	Vehicle glazing
汽车尾翼	Automobile tail
汽车座垫	Car seat
汽车座套	Car seat cover
汽车座椅	Car seat
汽车座椅套	Car seat cover
汽车影音	Car audio
汽车总动员2	Cars 2
汽车总动员全国汽车大赛	Cars: Mater-National
汽车总动员奥拉玛大奖赛	Cars Race O Rama
汽车总动员拖线狂想曲	Cars Toon: Mater's Tall Tales
汽车手刹	The automobile handbrake
汽车抱枕	Car cushion
汽车拉力赛	Car rally
汽车挂件	Car Pendant
汽车挂饰	Car Brooches
汽车按摩垫	Automobile massage cushion
汽车排气管	Automobile exhaust pipe
汽车整车维修企业	Car repair enterprises
汽车方向盘	The automobile steering wheel
汽车方向盘套	Car steering wheel cover
汽车机油	Automobile engine oil
汽车椅套	Car seat cover
汽车模型	Car model
汽车模特	Automobile model
汽车混凝土搅拌机	Motor-truck concrete mixer
汽车滤清器	Auto filter
汽车灯泡	Automobile bulb
汽车用品	Auto accessories
汽车租赁	Car rental
汽车租赁合同	Car Rental Contract
汽车窗帘	Car curtain
汽车线束	Automotive wiring harness
汽车组合开关	Automobile combination switch
汽车缓冲器	Automobile shock absorber
汽车脚垫	Car foor mat
汽车贴膜	Auto paster
汽车起动电机	Automobile starting motor
汽车起重机	Truck crane
汽车轮毂	Automobile hub
汽车轮胎	Automobile tire
汽车防滑垫	Automobile anti-skid pad
汽车音响	Car audio
汽车颈枕	Car neck pillow
汽车香水	Car perfume
汽车香水瓶	Car perfume bottle
汽车驾驶员	The Wheelman
汽车驾驶室	Automobile cab
汽轮发电机	Turbogenerator
汽锅虫草炖老鸭	Stewed Duck with Aweto in Steam Pot
汽锅鸡翅	Steam Pot Chicken Wings
沁人心肺	Gladdening the heart and refreshing the mind
沁人心脾	Gladdening the heart and refreshing the mind
沁人心腑	Gladdening the heart and refreshing the mind
沁人肺腑	Gladdening the heart and refreshing the mind
沁园春雪	Snow·On the Pattern of Qinyuanchun
沂水春风	Be nurtured by confucian ideas
沃伦·波滕特	Warren·Potent
沃尔夫斯堡行动	Operation Wolfsburg
沃野千里	A vast expanse of fertile farmland
沆瀣一气	Act evilly in collusion with
沈博绝丽	Profound in substance and beautiful in style
沈腰潘鬓	A good looking man
沈阳故宫	Shenyang Palace Museum
沈阳浑河	Hunhe River in Shenyang
沉冤莫白	A deep grievance that cannot be cleared
沉冤莫雪	A deep grievance that cannot be cleared
沉博绝丽	Profound in substance and beautiful in style
沉吟不决	Hesitate to do sth
沉吟未决	Hesitate to do sth
沉声静气	In a calm mood
沉寂死亡禁锢之屋典藏版	Gravely Silent: House of Deadlock Collector's Edition
沉密寡言	Be scanty of words
沉心静气	In a calm mood
沉思熟虑	Deliberate thoroughly
沉思默想	Be in a brown study
沉李浮瓜	To pursue summer joys
沉毅寡言	Be scanty of words
沉湎酒色	Overindulge oneself in wine and women
沉滓泛起	Old things that have disappeared have been shown again
沉疴难起	A serious chronic ailment
沉着痛快	Frank and straightforward
沉舟破釜	Break the cauldrons and sink boats
沉著痛快	Frank and straightforward
沉迷不悟	Stuck with wrong ideas
沉郁顿挫	Syncopated cadence
沉重寡言	Be scanty of words
沉静寡言	Be scanty of words
沉默之岛	The island of silence
沉默寡言	Be scanty of words
沉默的狙击手2	SILENT SCOPE 2
沉默的狙击手3	SILENT SCOPE 3
沉默的狙击手	Silent Scope
沐浴手套	Bath gloves
沐猴而冠	A worthless person in imposing attire
沐猴衣冠	A worthless person in imposing attire
沐雨栉风	Work very hard regardless of weather
沐雨梳风	Work very hard regardless of weather
沙丁油鱼	Sardines
沙丘外传	Frank Herberts Dune
沙丘歌百灵	Dune lark
沙丘魔堡3000之君王	Emperor: Battle for Dune
沙发坐垫	Sofa cushion
沙发系列	Sofa series
沙发组合	Sofa combination
沙发背景墙	Sofa backdrop
沙发茶几	Sofa table
沙发躺椅	Recliner sofa
沙发靠垫	Sofa cushion
沙地叶下珠	Phyllanthus arenarius
沙地锦鸡儿	Sandy land of Caragana
沙地雀麦	Bromus ircutensis
沙场雄英	Men of War
沙场雄英赤潮	Men of War: Red Tide
沙城长城干红一星	Great Wall Red Wine (One-Star)
沙城长城干红三星	Great Wall Red Wine(Three-Star)
沙城长城干红五星	Great Wall Red Wine (Five-Star)
沙城长城干红四星	Great Wall Red Wine (Four-Star)
沙姜焗软鸡	Steamed Salted Chicken with Ginger
沙宾罂粟	Sabin Poppy
沙律明虾球	Shrimp Salad
沙恩·罗斯	Shane·Rose
沙排宝贝	Beach Volleyball baby
沙朗牛排	Sirloin Steak
沙棘籽油	Seabuckthorn Seed Oil
沙氏秧鸡	Gallirallus Sharpei
沙湾蟾蜍	Bufo kabischi
沙滩凉鞋	Beach sandals
沙滩拖鞋	Beach slippers
沙滩排球Online	BEVA Online
沙滩摩托	Beach motorcycle
沙滩摩托车	Beach motorcycle
沙滩机车赛4专业版	ATV Offroad Fury 4 Pro
沙滩机车赛专业版	ATV Offroad Fury Pro
沙滩桌椅	Beach chairs
沙滩比基尼	Beach bikini
沙滩玩具	Beach toys
沙滩足球	Beach soccer
沙漠之舟	The ship of the desert
沙漠侏儒仓鼠	Roborovski hamsters
沙漠特遣队3	Terrorist Takedown 3
沙漠狂暴竞技赛	Quad Desert Fury
沙漠迷情	Arabianz lost: The engagemengt on desert
沙漠风暴Advance	Desert Strike Advance
沙生凤梨属	Ananas comosus
沙生风毛菊	Saussurea arenaria Maxim
沙生马齿苋	Portulaca psammotropha
沙生鸢尾	Iridaceae
沙罗曼蛇A	Gradius Advance
沙罗曼蛇携带版	Salamander Portable
沙苦荬属	Genus Lactuca indica
沙茶牛松饭	Stir-Fried Rice with Minced Beef and Satay Sauce
沙茶鱼头煲	Braised Fish Head with Satay Sauce in Casserole
沙茶鸡煲	Braised Chicken with Satay Sauce in Casserole
沙葱炒鸡蛋	Scrambled Eggs with Golden Onion
沙里淘金	Obtain gold by washing it from sand and gravel
沙锅鱼头	Stewed Fish Head with Sauce in Casserole
沙面大街	Shamian Street
沙面网球场	Shamian Tennis Court
沙鸥翔集	The sand gulls sometimes fly and pause
沛雨甘霖	Abundant and seasonable rain
沟槽管件	Grooved fittings
沟满壕平	Full
沟满濠平	Full
没世不忘	I shall not forget it in my life
没世不渝	I shall not forget it in my life
没世难忘	I shall not forget it in my life
没低到尘埃里的种子开不出花	A seed that has not descended itself to the dirt can never burst into bloom
没可奈何	Feel helpless
没头没脑	Without rhyme or reason
没头没脸	Regardlessness
没头苍蝇	A headless fly
没完没了	Endless
没我爱你	not love you as much as I do
没日没夜	Day and night
没有为什么	No reason
没有人想说英语说得差和糟糕	Nobody wants to speak poor and terrible English
没有人管我	No one cares about me
没有什么是必须得到的也没有什么是不可失去的	There is nothing we must gain and cannot lose
没有任何人能代表他	No one can represent him
没有你在我身边天上月圆圆我心却空落落	Without you, the moon is round though my heart is empty
没有你我一样行	I can do fine without you
没有你良辰美景可与何人说	How to spend such beautiful time without you
没有关系	Never mind
没有时间想你	I have no time even to think of you
没有梦想的人不如做个植物	The person who is living without dream is same like a plant
没有水人和动物都不能活	Without water, people and animals cannot live
没有答错题目	No wrong answers
没没无闻	Fall into oblivion
没石饮羽	Have the strong willpower that can make an arrow pierce even stone
没空解释	Have no time to explain
没精塌彩	Be out of spirits
没精打彩	Be out of spirits
没精打采	Be out of spirits
没精没彩	Be out of spirits
没而不朽	Immortal
没衷一是	Unable to agree on which is right
没轻没重	Tactlessly or indiscreetly
没齿不忘	Will never forget to the end of one's days
没齿无怨	Without any complaint to the end of one's life
没齿难忘	will never forget to the end of one's days
沥胆堕肝	Absolutely sincere and loyal
沥胆披肝	Absolutely sincere and loyal
沥血叩心	Absolutely sincere and loyal
沥血披心	Absolutely sincere and loyal
沥血披肝	Absolutely sincere and loyal
沥青搅拌站	Asphalt mixing station
沥青摊铺机	Asphalt paver
沥青路面养护车	Asphalt pavement maintenance truck
沥青运输车	asphalt pavement maintenance truck
沥青都市GT2	Asphalt: Urban GT 2
沥青都市GT	Asphalt: Urban GT
沥青都市赛车GT2	Asphalt: Urban GT 2
沦肌浃髓	Extreme gratitude
沧州铁狮子	Cangzhou iron lion
沧浪诗话	Cang Lang's Notes on Poets and Poetry
沧海一鳞	A drop in the bucket
沧海桑田	Time brings great changes to the world
沧海横流	The seas are in turmoil
沧海遗珠	An unnoticed talent
沧源崖画	Cangyuan rock paintings
沱牌曲酒	Tuopai Liquor
河不出图	In turbulent days
河东狮吼	Lioness's roar (describing the fear of a henpecked husband)
河东狮子	Hellcat
河出伏流	Explod with a strong force
河北钢管	Hebei steel pipe
河南云台山	Henan Yuntai Mountain
河南登封少林寺	Henan Dengfeng Shaolin Temple
河堤决堤发生在周四凌晨六点洪水冲毁了1万3333亩农田	The riverbank was breached at 6 am on Thursday and the flood damaged about 13,333 hectares of farmland
河山带砺	The time is long, and any turbulence will never change
河汾门下	The well-known scholar has many distinguished students
河沙世界	Numerous buddha realms
河流污染	Stream pollution
河涸海干	Not leave a bit
河清海宴	All is at peace
河清海晏	All is at peace
河清难俟	It is hard to wait till the huanghe river is clear
河溓海晏	It is hard to wait till the huanghe river is clear
河落海干	Not leave a bit
河西走廊	Hexi Corridor
河边亭子	Pavilion by the river
河鱼之疾	Have loose bowels
河鱼腹疾	Have loose bowels
沸反盈天	Cause a shocking commotion
沸沸扬扬	Raise a babel of criticism of
沸点2白金天堂之战	White Gold: War in Paradise
油光可鉴	Shiny can Kam
油光水滑	Shiny and smooth
油动直升机	Oil moving helicopter
油动遥控车	Oil operated remote control car
油印蜡纸	Stencil paper
油压传动	hydraulic transmission
油压千斤顶	Hydraulic jack
油嘴滑舌	With a glib tongue
油壁香车	Exquisite carriage
油头滑脑	As crooked as a corkscrew
油头滑脸	As crooked as a corkscrew
油头粉面	Dressy or foppish
油料作物	Oil crops
油桶搬运车	Tank truck
油泡石斑球	Fried Sea Bass Balls
油泡虾球	Crystal Prawns
油泵油嘴	Fuel injection equipment
油浇火燎	Rather anxious
油浸加吉鱼	Marinated Sea Bream in Oil
油浸娃娃菜	Braised Baby Cabbage in Soy Sauce
油浸左口鱼	Marinated Flatfis in Oil
油浸鲈鱼	Marinated Perch in Oil
油浸鳟鱼	Marinated Bulltrout in Oil
油淋茄子	Eggplant drenched in oil
油渍麻花	Smeary
油漆涂料	Paint coating
油炸花生米	Fried Peanuts
油炸食物	Fried food
油炸鸡翅	Fried Chicken Wings
油焖春笋	Braised Bamboo Shoot
油然而生	Arise spontaneously
油煎火燎	rather anxious
油煎蛋皮肉卷	Pan-Fried Egg Rolls
油画作品	Oil painting
油画静物	Painting of the still objects
油盐水浸时蔬	Braised Seasonal Vegetable
油盐酱醋	Daily necessaries
油腔滑调	Glib
油豆腐粉丝汤	Fried Tofu and Vermicelli Soup
油酱毛蟹	Braised River Crab with Soy Bean Paste
油门踏板	Accelerator pedal
油面筋酿肉	Wheat Gluten with Pork Stuffing
治丝益棼	To do sth. which only makes matters worse
治丝而棼	To do sth. which only makes matters worse
治国安民	Run the country well and give the people peace and security
治安法庭	Police court
治疗手足癣的方法	Treatment method of tinea of feet and hands
治疗、换药室	Treatment & Dressing Room
治疗药物浓度监测室	Therapeutic Drug Monitoring Room
治病救人	Cure the sickness and save the patient
沼泽山雀	Parus palustris
沽名吊誉	Fish for fame and credit
沽名干誉	Fish for fame and credit
沽名要誉	Fish for fame and credit
沽名钓誉	Fish for fame and credit
沾亲带友	Relationships with friends and relatives
沾亲带故	Relationships with friends and relatives
沾化冬枣	Zhanhua brumal jujube
沾北冬枣	Zhanbei brumal jujube
沾水牛肉	Boiled Beef
沾沾自喜	Be pleased with oneself
沾沾自好	Be pleased with oneself
沾沾自满	Be pleased with oneself
沾沾自衒	Be pleased with oneself
沾泥带水	Do things sloppily
沾花惹草	Be promiscuous in sex relations
沾酱黄瓜	Pickled Cucumber
沾风惹草	Be promiscuous in sex relations
沿岸航行	Coasting navigation
沿波讨源	Follow up the stream and seek the source
沿海地区	Coastal areas
沿海城市	Coastal city
沿海贸易	Coasting trade
沿途贸易	Way-port trade
沿门托钵	Begging alms from door to door
沿门持钵	Begging alms from door to door
沿门讬钵	Begging alms from door to door
泄露天机	Disclose the secret
泉州开元寺	Quanzhou Kaiyuan Temple
泉石膏肓	Deep-rooted love for natural charms
泌尿外科	Urology Surgery
泌尿外科膀胱镜室	Urology Cystoscopy Room
泌尿外科门诊	Urologic Surgery Clinic
泌尿科医生	Urologist
法不徇情	The law knows no kindness
法不阿贵	The law does not protect the powerful persons
法人团体	Body corporate
法兰克福	Frankfurt
法兰螺栓	Flange bolt
法兰螺母	Flange nut
法兰西斗牛犬	French Bulldog
法出多门	Each department acting on its own
法制讲座	Legal lecture
法力无边	Boundless supernatural power
法国公鸡	France cock
法国冬青	France Holly
法国圆号	French horn
法国婴姿坊	Bebe fenne
法国斗牛	French Bulldog
法国斗牛犬	French Bulldog
法国梧桐	Oriental plane
法国波尔多犬	France Bordeaux dog
法国精油	The French oil
法国美食	French cuisine
法国首都	Capital of France
法国香水	French perfume
法国香草咖啡	French Vanilla Coffee
法外施仁	With leniency
法定人数	Quorum
法定信托	Implied trust
法定假日	Legal holiday
法定准备金	Legal reserve
法定婚龄	Legal age of marriage
法定标准	Statutory standards
法定程序	Legal procedures
法家拂士	Learned men and advisors
法式小面包	French Roll
法式洋葱汤	French Onion Soup
法式滴滤咖啡	French Coffee
法式苹果塔	French Apple Tart
法式蔬菜	Vegetable Rataouille
法式衬衫	French shirt
法律与秩序3伸张正义	Law and Order: Justice Is Served
法律事务所	Law office
法律委员会	Law committee
法律责任	Legal responsibility
法拉利GT进化	Ferrari GT: Evolution
法拉利挑战赛	Ferrari Challenge Trofeo Pirelli
法拉利汽车	Ferrari car
法拉利跑车	Ferrari coupe
法拉电容	SuperCapacitor
法比亚娜·克劳迪诺	Fabiana·Claudino
法比恩·勒弗维里	Fabien·Lefevre
法比昂汉布钦	Fabian Hambuechen
法界源流图	Legal origin figure
法西斯分子	The Fas acist
法西斯蒂	Fascist
法规督察科	Regulatory Supervision Section
法轮常转	The wheel of transmigration turns unceasingly -- a Buddist doctrine
法院拘票	Bench warrant
泛泛之交	A speaking acquaintance
泛泛之谈	Speak generally
泛泛而谈	Speak generally
泛阿拉伯运动会	Pan Arab Games
泡棉双面胶	Foam double-sided adhesive
泡椒墨鱼仔	Pickled Cuttlefish
泡椒甲鱼	Turtle with Pickled Peppers
泡椒鸡爪	Spicy Chicken
泡椒鸭丝	Shredded Duck with Pickled Peppers
泡沫咖啡	Cappuccino
泡沫橡皮	Cellular rubber
泡沫牛奶	Milk shake
泡沫玻璃	Foam glass
泡沫陶瓷	Foam ceramic
泡泡战士	Bubble Fighter
泡泡狂欢	Bubble Bash
泡泡龙双重射击	Bubble Bobble Double Shot
泡泡龙新与旧	Bubble Bobble: Old & New
泡泡龙进化	Bubble Bobble Evolution
泡泡龙革命	Bubble Bobble Revolution
泡菜什锦	Assorted Pickles
泡菜炒饭	Stir-Fried Rice with Pickled Vegetables
泡菜鱼头汤	Pickled Cabbage Fish Head Soup
泡菜鱼翅羹	Shark's Fin and Pickles Soup
泡萝卜炒肉丝	Sauteed Shredded Pork with Pickled Turnip
波光粼粼	The Glistening Pond
波光鳞鳞	The Glistening Pond
波兰地图	Map of Poland
波兰祖布兰卡伏特加	Zubrowka-Bison Brand Vodka, Poland
波兰首都	Capital of Poland
波利口袋	Polly Pocket: Super Splash Island
波利尼西亚	Polynesia
波利尼西亚语	Polynesian
波力海苔	Po Li seaweed
波坦萨古堡	Chateau Potensac
波士顿梗	The Boston Terrier
波尔山羊	Boer Goat
波希米亚	Bohemian
波形曲线	Wavy curve
波拉·拉德克里夫	Paula·Radcliffe
波斯猫爪	Pussy Foot
波斯王子4	Prince of Persia
波斯王子5遗忘之沙	Prince of Persia The Forgotten Sands
波斯王子启示	Prince of Persia: Revelations
波斯王子堕落之王	Prince of Persia: The Fallen King
波斯王子战争	Battles of Prince of Persia
波斯王子时之刃	Prince of Persia: The Sands of Time
波斯王子时之沙	Prince of Persia: The Sands of Time
波斯王子时之砂	Prince of Persia: The Sands of Time
波斯王子王者无双	Prince of Persia: The Two Thrones
波斯王子竞争之剑	Prince of Persia Rival Swords
波斯王子经典版	Prince of Persia Classic
波斯王子继承人	Prince of Persia Heir
波斯王子遗忘之沙	Prince of Persia: The Forgotten Sands
波段开关	Band switch
波波罗古罗伊斯物语皮耶多罗王子的冒险	Popolocrois Story Adventure of Prince Pietro
波涛汹涌	Roaring waves
波澜壮阔	Unfolding on a magnificent scale
波澜老成	Unfolding on a magnificent scale
波纹补偿器	Corrugated compensator
波西米亚	Bohemia
波谲云诡	Change constantly like cloud and wave
波路壮阔	Unfolding on a magnificent scale
波轮洗衣机	Pulsator washing machine
波音公司	The Boeing Company
波音达犬	German Pointer
波音达猎犬	German Pointer
泣下如雨	Shed tears like rain
泣下沾襟	Choke with sobs
泣不成声	Choke with sobs
泣数行下	Grief-stricken
泣涕如雨	Grief-stricken
泣血稽颡	Weep blood and knock one's head on the ground--at the death of one's father or mother
泥古不化	Follow the beaten track
泥塑人物	The clay sculpture characters
泥塑工艺品	Clay sculpture crafts
泥塑木雕	Wooden statues or plaster idols
泥多佛大	Abundant clay makes a large buddha - through the help of many supports , a man becomes great
泥沙俱下	Mud and sand are carried along -- there is a mingling of good and bad
泥牛入海	Like a clay ox entering the sea
泥糊状食品	Mashed food
泥而不滓	Remain honest and clean
泥足巨人	A person or a thing strong outside but weak inside
注册商标	Registered trademark
注册机械工程师	Certified Machinery Engineer
注册测绘师	Certified Cartographer
注册环保工程师	Certified Environment Protection Engineer
注册石油天然气工程师	Certified Petroleum &Natural Gas Engineer
注册证书	Certificate of registration
注册通行证	Registered laissez-passer
注塑模具	Injection mould
注意台阶	Mind Your Step
注意安全请勿靠近	Keep Away for Safety
注意归还日期按时还书	Please Return Books on Time
注意自动门	Caution! Automatic Door
注意行人	Watch Out for Pedestrians
注意身体	Take care
注意防火请勿乱扔烟蒂	No Littering with Cigarette Butts
泪下如雨	Shed tears like rain
泪光盈盈	Be brimming with tears
泪如泉滴	The tears run like a bubbling spring
泪如雨下	Shed tears like rain
泪干肠断	Weeping one's eyes out and heart-broken
泪水盈盈	Be brimming with tears
泪水莹莹	Be brimming with tears
泪眼汪汪	Be brimming with tears
泰亭哲香槟	Taittinger Brut Reserve Champagne NV
泰勒莎 亲爱的埃米尔	Theresia: Dear Emile
泰国暹罗猫	Thailand Siamese cats
泰国首都	Capital of Thailand
泰坦之战	Clash of the Titans
泰姬玛哈陵	The Taj Mahal
泰山刻石	Inscribed stones on Mount Tai
泰山北斗	A respectful epithet for a person of distinction
泰山压卵	A great power crushes the weak -- the result is certain
泰山压顶	Encounter tremendous pressure and blow
泰山奇石	Taishan stone
泰山日出	Sunrise on Mount Tai
泰山梁木	The revered man has died
泰山盘石	Stable
泰山石刻	Taishan stone inscriptions
泰山重返丛林	Disney's Tarzan: Return to the Jungle
泰山风景区	The Taishan Scenic Area
泰山鸿毛	Mount Tai and goose feathers -- a comparison of heavy and light things
泰式按摩	Thai massage
泰式煮什菌	Boiled Assorted Mushrooms, Thai Style
泰式豆腐	Braised Tofu in Thai Sauce
泰式辣椒炒虾仁	Sauteed Shrimp with Chili, Thai Style
泰式鱼饼	Fish Cake Thai Style
泰戈·伍兹PGA高尔夫巡回赛	Tiger·Woods PGA Tour Golf
泰戈·伍兹高尔夫PGA巡回赛2004	Tiger·Woods PGA Tour 2004
泰戈·伍兹高尔夫PGA巡回赛2005	Tiger·Woods PGA Tour Golf 2005
泰戈·伍兹高尔夫PGA巡回赛2006	Tiger·Woods PGA Tour 2006
泰戈·伍兹高尔夫PGA巡回赛2007	Tiger·Woods PGA Tour 2007
泰戈·伍兹高尔夫PGA巡回赛2008	Tiger·Woods PGA Tour 2008
泰戈·伍兹高尔夫PGA巡回赛2009	Tiger·Woods PGA TOUR 2009
泰戈·伍兹高尔夫PGA巡回赛2010	Tiger·Woods PGA TOUR 2010
泰托传奇加强版	Taito Legends Power Up
泰托怀旧记忆口袋版	Taito Memories Pocket
泰斯虎冒险3魁刚之夜	TY the Tasmanian Tiger 3: Night of the Quinkan
泰汁煎银鳕鱼	Pan-Fried Codfish in Thai Sauce
泰汁银雪鱼饭	Rice with Codfish with Thai Sauce
泰然处之	Take it calmly
泰米尔半岛	Taimyr peninsula
泰迪熊犬	Tactic bear dog
泰阿倒持	Surrender one's power to another at one's own peril
泱泱大国	A great country
泱泱大风	The impressive manner of a great country
泳姿检察员	Stroke Judge
泳装比基尼	Swimsuit Bikini
泳装比赛	Swimsuit competition
泳装美女	Swimsuit beauty
泸州曲酒	Luzhou liquor
泸州老窖 38度	Luzhou Lao Jiao(38 degree)
泸州老窖 52度	Luzhou Lao Jiao(52 degree)
泸州贡酒	Luzhou wine
泸水沿阶草	Ophiopogon
泼天大祸	Overwhelming disaster
泼妇骂街	A woman hysterically shouting and cursing in public
泼水难收	Things done cannot be undone
泼油救火	Extinguish a fire with oil
泽及枯骨	Benevolence extends even to the dead
泽被后世	Benevolence extends even to the generations
泾渭不分	Unable to distinguish between the clear and the muddy
泾渭分明	Be quite distinct from each other
泾渭自明	Be quite distinct from each other
洁丽香菇	Lentinus lepideus
洁净实验室	Clean Operating Laboratory
洁己奉公	Clean oneself and perform a duty
洁浊扬清	To cast out the wicked and cherish the virtuous
洁白无瑕	Spotless white
洁身自好	Refuse to be contaminated by an evil influence
洁身自爱	Mind one's own business in order to keep out of trouble
洋为中用	Make foreign things serve China
洋参炖甲鱼	Stewed Turtle with American Ginseng
洋洋得意	Immensely proud
洋洋洒洒	Copious and fluent
洋洋盈耳	The sound of speech and reading is pleasing to the ear
洋甘菊纯露	Chamomile Flower Water
洋葱炒土豆	Potato Lyonnaise
洋葱炒牛肉片	Stir-fried Beef Cutlets with Onion
洋葱烟肉批	Bacon and Onion Pie
洋葱煮鱼	Boiled Fish with Onion
洋葱牛柳丝	Sauteed Shredded Beef with Onion
洋酒的初次接触DS	DS: Style Series: Wine no Hajimekata DS
洒扫应对	Reward the guests
洒脱自拍	Casual Selfie
洗发水广告	Advertisements of shampoos
洗发沐浴露	Shampoo and Shower Gel
洗垢求瘢	Too critical of others' mistakes
洗垢索瘢	Too critical of others' mistakes
洗心回面	Turn over a new leaf
洗心涤虑	Purify the heart and do away with cares
洗心革面	Turn over a new leaf
洗手不干	Turn over a new leaf
洗护发用品	Shampoo & Conditioner
洗浴中心	Bath Centre
洗涤用品	Washing products
洗涤用品涨价	The washing products raise in price
洗涤红细胞	Washed Red Blood Cells
洗涤设备	Washing equipment
洗涤超市	Cleansing Products Supermarket
洗澡喷头	Shower nozzle
洗脑管道	BrainPipe
洗衣工作间	Laundry
洗衣机水龙头	Washing machine tap
洗衣机滚筒	Washing machine drum
洗面筋机	Gluten washing machine
洛克人10	Megaman10
洛克人10来自宇宙的威胁	Mega Man 11: Menace From Space
洛克人45真实演习	Rockman EXE 45: Real Operation
洛克人9	Rockman 9
洛克人EXE2	Mega Man Battle Network 2
洛克人EXE3白	Mega Man Battle Network 3 White Version
洛克人EXE3蓝	Mega Man Battle Network 3 Blue Version
洛克人EXE4红日	RockMan EXE 4 Tournament Red Sun
洛克人EXE4蓝月	RockMan EXE 4 Tournament Blue Moon
洛克人EXE5	Rockman EXE 5
洛克人EXE5双生领袖	Mega Man Battle Network 5: Double Team DS
洛克人EXE5蓝队	Rockman EXE 5: Team of Blues
洛克人EXE6蓝牙兽	Mega Man Battle Network 6: Greiga Version
洛克人EXE流星演习	Rockman EXE: Operate Shooting Star
洛克人Zero2	Mega Man Zero 2
洛克人Zero3	Mega Man Zero 3
洛克人Zero4	Rockman Zero 4
洛克人Zero	Mega Man Zero
洛克人Zero合集	Rockman Zero: Collection
洛克人ZX	Mega Man ZX
洛克人冲刺2伟大的遗产	Mega Man Legends 2
洛克人冲刺钢之冒险心	Mega Man Legends
洛克人反乱猎人X	Mega Man Maverick Hunter X
洛克人和福尔特	RockMan & Forte
洛克人威力加强	Mega Man Powered Up
洛克人钢铁之心	Rockman Dash
洛兰多大陆	Rolando
洛可可式	Rococo
洛城危机	True Crime: Streets of LA
洛城飚车	Rush(L.A. Rush)
洛威拿犬	Rottweiler
洛杉矶之战	Battle: Los Angeles
洛林乳蛋饼	Quiche Lorraine
洛矶山脉	Rocky Mountains
洛阳才子	Literary talents
洛阳牡丹	Luoyang Peony
洛阳纸贵	Good writings make people copy them
